GEOid,GEOid2,msa_name,HC01_EST_VC01,HC01_EST_VC10,HC01_EST_VC14,HC01_EST_VC15,HC01_EST_VC16,HC01_EST_VC28,HC01_EST_VC48,HC01_EST_VC78,latitude,longitude,peerGroup
310M200US35620,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",2361371,417500,2.4,13.9,0.7,114527,2604,7865,40.7127837,-74.0059413,a
310M200US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1502035,229800,3.3,13.5,0.6,94840,1770,5242,41.8781136,-87.6297982,a
310M200US31080,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",1495615,548800,3.5,12.4,0.9,102441,2331,4216,34.0522342,-118.2436849,a
310M200US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",1069934,403600,3.9,14.3,0.8,126353,2243,3944,38.9071923,-77.0368707,a
310M200US37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",1005651,251100,2.8,14.4,0.6,96529,1809,4292,39.9525839,-75.1652215,a
310M200US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",978465,187100,2.7,3.8,0.2,94497,1585,3851,32.7766642,-96.7969879,a
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",919180,191600,4.6,9.7,0.5,84326,1411,1844,33.7489954,-84.3879824,a
310M200US26420,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",832432,181700,2.7,3.9,0.1,98468,1580,3854,29.7604267,-95.3698028,a
310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",776000,395800,3.3,16.3,0.5,116900,2249,4973,42.3600825,-71.0588801,a
310M200US33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",726708,250600,2.7,11.3,0.8,76997,1676,2717,25.7616798,-80.1917902,a
310M200US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",699075,169700,3,12.5,0.4,83331,1355,2838,42.331427,-83.0457538,b
310M200US33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",671476,235400,5.1,14,0.7,98004,1601,2783,44.977753,-93.2650108,b
310M200US38060,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",665975,232200,3.2,9.2,0.6,80191,1388,1468,33.4483771,-112.0740373,b
310M200US41860,41860,"San Francisco-Oakland-Hayward, CA Metro Area",656117,730300,3.4,16.7,0.8,132065,2720,5871,37.7749295,-122.4194155,b
310M200US42660,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",632110,364900,3.6,13.9,0.6,106089,1977,3657,47.6062095,-122.3320708,b
310M200US40140,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",586210,319300,4.5,8,0.6,80506,1719,2867,33.9533487,-117.3961564,b
310M200US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",515339,317700,5.2,11.7,0.7,96965,1647,1865,39.7392358,-104.990251,b
310M200US41180,41180,"St. Louis, MO-IL Metro Area",500607,171700,3,10.4,0.4,83129,1337,2308,38.6270025,-90.1994042,b
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",490634,297600,3.6,14,0.9,102738,1834,3165,39.2903848,-76.6121893,b
310M200US45300,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",428776,185300,2.7,11,0.5,72460,1360,1807,27.950575,-82.4571776,b
310M200US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",416080,184300,3.3,13.1,0.7,80447,1301,1708,35.2270869,-80.8431267,c
310M200US41740,41740,"San Diego-Carlsbad, CA Metro Area",415532,494700,3.7,13.6,0.7,102360,2287,3985,32.715738,-117.1610838,c
310M200US38300,38300,"Pittsburgh, PA Metro Area",401776,154800,2.4,14.5,0.5,83077,1238,2615,40.4406248,-79.9958864,c
310M200US38900,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",399066,309600,4.5,13.1,0.7,90439,1700,3360,45.5230622,-122.6764816,c
