city,fisc_base_score,tax_auth_score,prop_tax_gap,demand_score,cluster,city_num,census_code,lat,lon
"Akron, OH",0.89,0.33,0.9,0.55,1,1,362077001,41.012239,-81.507831
"Albuquerque, NM",0.78,0.33,0.98,1.37,2,2,322001001,35.199592,-106.644831
"Austin, TX",0.4,0.33,0.99,1.32,2,3,442227001,30.326374,-97.771258
"Bakersfield, CA",0.79,0.33,0.28,1.01,3,4,52015001,35.483501,-119.007662
"Baltimore, MD",0.76,0.33,0.19,0.61,3,5,212004001,39.296536,-76.623489
"Baton Rouge, LA",0.83,0.33,1,1.54,2,6,192017002,30.44924,-91.185607
"Billings, MT",0.49,0.67,1.13,1.44,2,7,272056001,45.686966,-108.387392
"Boise, ID",0.51,0.33,1.02,1.66,2,8,132001001,43.603768,-116.272921
"Boston, MA",0.07,0.67,1.03,0.27,1,9,222013001,42.370567,-71.026964
"Buffalo, NY",0.87,0.67,0.99,0.55,1,10,332015005,42.929303,-78.832706
"Cape Coral, FL",0.54,0.67,0.33,1.68,4,11,102036801,26.606491,-81.95016
"Charleston, WV",0.68,0.67,0.94,1.49,2,12,492020002,38.328948,-81.605094
"Charlotte, NC",0.46,0.67,0.31,1.2,4,13,342060001,35.26002,-80.804151
"Cincinnati, OH",0.88,0.33,0.08,1.03,3,14,362031006,39.166759,-84.53822
"Cleveland, OH",0.9,0.33,0.09,0.4,3,15,362018014,41.523401,-81.599648
"Colorado Springs, CO",0.93,0.33,1.02,0.78,1,16,62021002,38.861469,-104.857828
"Columbia, SC",0.65,0.67,2.71,1.38,2,17,412040001,33.987454,-81.024864
"Columbus, OH",0.87,0.33,0,0.94,3,18,362025003,40.040113,-82.897222
"Corpus Christi, TX",0.76,0.33,1.06,1.55,2,19,442178003,27.759399,-97.648158
"Dallas, TX",0.69,0.33,1,1.25,2,20,442057007,32.781179,-96.790329
"Dayton, OH",0.91,0.33,0.06,1.16,3,21,362057004,39.750471,-84.268593
"Denver, CO",0.69,0.33,1.13,0.89,1,22,62016001,39.726303,-104.856808
"Des Moines, IA",0.76,0.33,0.22,1.24,4,23,162077005,41.672687,-93.572173
"Detroit, MI",0.94,0.33,1.07,0.43,1,24,232082004,42.239933,-83.150823
"Durham, NC",0.52,0.67,0.01,1.14,4,25,342032001,36.004307,-78.875467
"El Paso, TX",0.8,0.33,0.98,1.16,2,26,442071002,31.763608,-106.484592
"Fargo, ND",0.77,0.33,0.06,1.43,4,27,352009009,46.92536,-96.990615
"Fayetteville, NC",0.67,0.67,0.01,1.23,4,28,342026001,35.053416,-78.781027
"Fresno, CA",0.81,0.33,0.35,0.78,3,29,52010005,36.8411,-119.801015
"Ft. Wayne, IN",0.85,0.33,0.44,1.52,4,30,152002001,41.0793,-85.1394
"Grand Rapids, MI",0.85,0.33,1.02,0.96,1,31,232041004,42.984226,-85.629101
"Greensboro, NC",0.57,0.67,0.01,1.47,4,32,342041002,36.055285,-79.831692
"Houston, TX",0.61,0.33,0.95,1.41,2,33,442101008,29.813142,-95.309789
"Indianapolis, IN",0.81,0.33,0.21,1.18,4,34,152049008,39.775092,-86.13216
"Jackson, MS",0.77,0.67,0.92,1.83,2,35,252025004,32.291095,-90.192687
"Jacksonville, FL",0.54,0.67,0.09,1.4,4,36,102016003,30.337538,-81.768622
"Kansas City, MO",0.87,0,0.97,1.19,2,37,262048006,39.102404,-94.598583
"Las Vegas, NV",0.65,0.67,0.12,1.2,4,38,292002002,36.17372,-115.10647
"Lexington, KY",0.54,0.67,0.99,1.44,2,39,182034001,38.016674,-84.486043
"Little Rock, AR",0.78,0.33,0.89,1.42,2,40,42060004,34.755998,-92.284832
"Los Angeles, CA",0.5,0.33,0.37,0.37,3,41,52019027,33.973951,-118.248405
"Louisville, KY",0.75,0.33,1,1.14,2,42,182056014,38.188962,-85.676819
"Lubbock, TX",0.78,0.33,1.01,1.32,2,43,442152002,33.607701,-101.842056
"Madison, WI",0.52,0.67,1.05,1.21,2,44,502013011,43.06956,-89.423861
